,y1,y2,y5,q1d,q2d,q5d
20230822093021_satd_lexpr10_lopt50_10_9543,0.01603226872073039,0.01788734437894178,0.01773366518494643,"(0.00013, -0.00033)","(0.0003, -0.00046)","(0.00085, 0.00036)"
20230822112440_satd_lexpr10_lopt50_10_9320,0.02594172903772064,0.027793143175058963,0.03394176158025304,"(0.0001, -0.00089)","(0.00027, -0.00113)","(0.00155, 0.00021)"
20230822131115_satd_lexpr10_lopt50_10_5609,0.026765867087480463,0.02875096631045686,0.03373191700139208,"(1e-05, -0.00057)","(0.00023, -0.00056)","(0.0012, 0.00018)"
20230822140517_satd_lexpr10_lopt50_10_1992,0.010447875540456892,0.012871738790361525,0.011543614223083802,"(0.0007, 0.00067)","(0.00128, 0.00105)","(0.00202, 0.00161)"
20230822145833_satd_lexpr10_lopt50_10_9833,0.01698769978371609,0.018651751182768253,0.01960991221666417,"(0.00025, 0.00038)","(0.0004, 0.00053)","(0.00088, 0.00084)"
20230822154907_satd_lexpr08_lopt50_10_6197,0.025368133225492057,0.028415367340334247,0.029641470902335623,"(0.00011, -0.00036)","(0.00039, -0.00032)","(0.00095, -1e-05)"
20230822155423_satd_lexpr08_lopt50_10_6746,0.03144135714488621,0.03247393237581707,0.03701666810673795,"(0.00023, -6e-05)","(0.00045, 4e-05)","(0.00118, 0.00147)"
20230822172834_satd_lexpr08_lopt50_10_4714,0.021142385860630854,0.02459229384699028,0.03576103601559936,"(5e-05, -0.00055)","(0.00021, -0.00109)","(0.00104, -0.00046)"
20230822174148_satd_lexpr08_lopt50_10_7586,0.023648448552543565,0.02417155232843013,0.022944869849618407,"(0.00034, 5e-05)","(0.00068, 8e-05)","(0.00108, 0.00017)"
20230823000025_satd_lexpr08_lopt50_10_5070,0.01768052463112902,0.01846752451938311,0.025123292307830072,"(0.00029, -5e-05)","(0.00053, 0.00014)","(0.00213, 0.00199)"
20230823000029_satd_lexpr08_lopt50_10_5604,0.03254475337709156,0.032675044797130015,0.035690274454830896,"(0.00071, 0.00048)","(0.00103, 0.00036)","(0.00258, 0.0024)"
20230823095747_satd_lexpr08_lopt50_10_5819,0.013063884798471004,0.011460227022467098,0.012522218323231938,"(-0.00034, -0.00064)","(-0.00047, -0.00121)","(0.00016, -0.00139)"
20230823095751_satd_lexpr08_lopt50_10_2496,0.036441843522821864,0.03816963651688761,0.04060606785268028,"(0.00057, 0.00063)","(0.00105, 0.00103)","(0.00214, 0.00251)"
20230823095758_satd_lexpr08_lopt50_10_2261,0.016371814179895552,0.018290499780399105,0.017165895956287418,"(0.00034, 0.00036)","(0.00066, 0.00095)","(0.00118, 0.00251)"
20230823095804_satd_lexpr08_lopt50_10_9650,0.010208099702118275,0.0124511805566261,0.0160491894827582,"(7e-05, -6e-05)","(0.00037, 0.00036)","(0.00129, 0.00117)"
20230824092356_satd_lexpr08_lopt50_10_9193,0.01775021014604722,0.018327967281931194,0.020429126098259264,"(-1e-05, -0.0004)","(2e-05, -0.00087)","(0.00082, -3e-05)"
20230824092404_satd_lexpr08_lopt50_10_3519,0.024364505060307816,0.028188068931116014,0.033968664515141626,"(0.00051, 1e-05)","(0.00108, 0.00015)","(0.00221, 0.00125)"
20230824092406_satd_lexpr08_lopt50_10_4656,0.032541982592205816,0.034375526914577695,0.03604179172246794,"(0.00034, 0.00026)","(0.00061, 0.00092)","(0.00101, 0.00023)"
20230824092406_satd_lexpr08_lopt50_10_9769,0.02718154315447282,0.025012786342655552,0.023945699348196185,"(0.00031, 0.00044)","(0.0006, 0.0008)","(0.00202, 0.00262)"
20230824092408_satd_lexpr08_lopt50_10_6211,0.020465412136255134,0.021855361474286433,0.02760547314398907,"(-0.0001, -0.00017)","(-0.00013, -7e-05)","(0.0004, 0.00234)"
20230825003035_satd_lexpr10_lopt50_10_6173,0.019370480367281954,0.02270680150845977,0.02350804837843978,"(0.0006, 0.0004)","(0.00123, 0.00074)","(0.00192, 0.00023)"
20230825003101_satd_lexpr10_lopt50_10_3581,0.026536075805809765,0.029207136484165033,0.03695416962747382,"(0.00029, -0.00042)","(0.00061, -0.00048)","(0.00227, 0.00187)"
20230825090927_satd_lexpr10_lopt50_10_5052,0.015517429342855896,0.017328383483911487,0.017931625646997323,"(0.00025, -0.00022)","(0.00055, -0.00024)","(0.00156, 0.00011)"
20230825103129_satd_lexpr10_lopt50_10_4933,0.017783005938803623,0.018226897475216566,0.018891006125630137,"(0.0005, 0.00057)","(0.00086, 0.00068)","(0.00176, 0.00138)"
20230825130709_satd_lexpr10_lopt50_10_7822,0.013881949365130973,0.015040159548116981,0.016581599939651772,"(0.00046, 0.00058)","(0.00095, 0.00129)","(0.00174, 0.00253)"
20230825130717_satd_lexpr10_lopt50_10_4397,0.03148779476781215,0.035840513588029956,0.03969877289507663,"(0.00052, -0.00011)","(0.00111, 0.00039)","(0.00247, 0.00257)"
20230825155549_satd_lexpr10_lopt50_10_8222,0.03275079826096062,0.035294363847446004,0.039162063683159734,"(0.0004, 0.00019)","(0.0007, 0.00015)","(0.00088, 0.00052)"
20230825155554_satd_lexpr10_lopt50_10_0881,0.02193799453812039,0.022764235670904492,0.025051765714354853,"(4e-05, -9e-05)","(0.0001, -8e-05)","(0.00037, 9e-05)"
20230825155606_satd_lexpr10_lopt50_10_6919,0.016968223455535166,0.019403947758599726,0.02248864699617716,"(0.0, -0.00016)","(0.0001, -0.00018)","(0.00109, 0.00095)"
20230826132348_satd_lexpr10_lopt50_10_5062,0.02627163938760964,0.027322283694147284,0.030611159420218484,"(0.00034, 0.00014)","(0.00062, 0.00024)","(0.00184, 0.0013)"
20230826132401_satd_lexpr10_lopt50_10_4328,0.016265404471966137,0.018413981239235384,0.020323442066864164,"(0.00016, -0.00057)","(0.00035, -0.00054)","(0.0011, 0.0006)"
20230826132404_satd_lexpr10_lopt50_10_7581,0.0298077316473477,0.032094000587042856,0.0394910221715695,"(0.0002, -0.00091)","(0.00035, -0.00075)","(0.0018, 0.00122)"
20230827010811_satd_lexpr10_lopt50_10_3236,0.01740295752724312,0.0221061861568636,0.020475086460113447,"(0.00054, 0.00068)","(0.00114, 0.00122)","(0.00204, 0.00172)"
20230827010815_satd_lexpr10_lopt50_10_6624,0.022188690261256475,0.024711957672011745,0.02963942962123327,"(0.00025, 2e-05)","(0.00053, -0.00022)","(0.00062, -0.00076)"
20230827010819_satd_lexpr10_lopt50_10_0782,0.025874106556641584,0.02937104378643902,0.033340869306981914,"(0.0002, -0.00109)","(0.00053, -0.00121)","(0.0019, -0.00035)"
20230827010822_satd_lexpr10_lopt50_10_8783,0.018452320977263726,0.019117585266335887,0.0216891710050826,"(0.00028, 0.00059)","(0.00049, 0.00075)","(0.00124, 0.00083)"
20230827133530_satd_lexpr10_lopt50_10_1376,0.03320702962549241,0.03698567008493313,0.04090201540314554,"(0.00047, 0.00034)","(0.00078, 0.0006)","(0.00129, 0.00082)"
20230827133530_satd_lexpr10_lopt50_10_2726,0.0257862841214277,0.02860373536734624,0.03577375227861965,"(-2e-05, 0.00023)","(-0.00011, -8e-05)","(0.00029, 0.00037)"
20230827133531_satd_lexpr10_lopt50_10_2189,0.02573559278654168,0.028523894312817533,0.029189782660354262,"(0.00055, 0.00026)","(0.00095, 0.00022)","(0.00151, 0.00015)"
20230827133532_satd_lexpr10_lopt50_10_2349,0.025632265291561457,0.02693457417125304,0.028288816710238435,"(-4e-05, -0.00044)","(3e-05, -0.0007)","(0.00043, -0.00063)"
20230827133535_satd_lexpr10_lopt50_10_2084,0.012624896708664533,0.014044309587473299,0.01467512104187129,"(0.00045, -0.00013)","(0.00078, -0.0004)","(0.00194, 0.00164)"
